32, 5.1
172, 7.6
375, 8.6
467, 17.7
502, 5.9
621, 4.4
647, 7.4
680, 4.5
773, 4.6
777, 12.5
799, 4.4
912, 4.7
918, 5.2
951, 6.1
972, 6.6
998, 4.7
1085, 16.5
1114, 4.7
1161, 7.3
1214, 6.8
1450, 6.3
1603, 4.6
1678, 5.1
1693, 4.9
1761, 4.4
1914, 4.5
2174, 4.5
2257, 8.1
2365, 4.9
2423, 5.8
2623, 4.7
2628, 10.4
2725, 5.0
2879, 13.0
2904, 4.5
2974, 5.3
2987, 19.9
3013, 7.0
3097, 7.3
3188, 5.4
3348, 6.1
3397, 4.4
3420, 10.2
3444, 9.4
3576, 7.2
3700, 7.9
3793, 7.5
3803, 11.2
3948, 5.0
4016, 4.9
4157, 4.7
4403, 20.2
4549, 5.4
4629, 7.6
4866, 9.4
4881, 4.5
4934, 15.5
5153, 12.3
5154, 11.7
5196, 8.0
5229, 6.0
5250, 6.0
5252, 6.0
5275, 6.0
5315, 4.4
5368, 6.0
5385, 9.1
5403, 6.1
5483, 4.4
5662, 13.5
5684, 18.2
5721, 7.1
5729, 5.0
5749, 6.2
5823, 4.4
5857, 5.2
5921, 7.9
6055, 8.1
6078, 7.0
6093, 16.4
6100, 8.8
6171, 6.0
6188, 5.4
6280, 4.4
6290, 12.9
6600, 6.9
6655, 5.6
6656, 5.4
6804, 4.6
6819, 6.8
6946, 7.4
7162, 8.1
7232, 7.5
7407, 6.1
7504, 4.8
7557, 5.4
7558, 8.4
7580, 5.6
7671, 6.9
7718, 6.1
7779, 4.9
7808, 4.5
7885, 5.1
8062, 9.0
8084, 5.1
8126, 4.4
8170, 4.3
8272, 7.1
8363, 7.6
8366, 9.9
8378, 6.8
8395, 5.8
8413, 4.7
8531, 6.8
8584, 6.6
8598, 4.6
8632, 5.1
8690, 4.7
8711, 9.8
8714, 5.9
8751, 13.6
8879, 5.1
8951, 6.9
8960, 5.0
9035, 6.9
9076, 4.9
9083, 4.9
9086, 4.9
9087, 5.3
9108, 5.9
9118, 6.6
9139, 5.7
9166, 5.2
9355, 7.8
9369, 5.4
9444, 4.4
9452, 4.8
9506, 10.8
9511, 10.8
9531, 10.7
9598, 6.7
9606, 4.6
9800, 4.8
10069, 14.7
10183, 12.1
10232, 5.2
10239, 11.4
10316, 4.4
10342, 10.9
10441, 7.5
10540, 6.2
10584, 5.9
10665, 5.0
10795, 5.2
10813, 10.9
10837, 7.3
11006, 4.4
11030, 5.8
11048, 12.6
11082, 4.6
11120, 10.0
11163, 10.0
11194, 4.8
11366, 5.4
11550, 6.6
11553, 5.1
11756, 4.8
11784, 9.7
11896, 5.5
11957, 5.4
12039, 4.8
12152, 4.5
12157, 6.8
12193, 4.6
12366, 6.3
12415, 8.8
12458, 4.5
12543, 10.7
12568, 7.8
12581, 10.1
12697, 4.9
12709, 8.6
12769, 8.8
12778, 7.0
12798, 5.3
12916, 4.5
12945, 7.5
12981, 4.6
13072, 5.3
13135, 6.8
13219, 4.4
13258, 9.3
13273, 5.5
13303, 4.6
13387, 5.8
13410, 7.2
13422, 12.4
13606, 4.5
13810, 4.9
13833, 7.6
13877, 6.7
14017, 8.8
14055, 5.2
14248, 5.4
14262, 6.9
14295, 16.8
14307, 4.4
14313, 6.7
14405, 6.0
14417, 13.3
14444, 4.9
14489, 5.6
14503, 13.7
14526, 5.7
14585, 8.0
14607, 5.3
14642, 7.6
14694, 9.3
14716, 4.7
14720, 5.0
14942, 5.8
14972, 5.6
15019, 4.6
15024, 4.8
15052, 7.9
15121, 12.0
15127, 4.4
15129, 16.7
15281, 7.8
15463, 5.1
